site,recordedBy,lat,long,uncertainty,species ,Nindividuals,year,Elev
ElVerde,Luisa Otero,18.3211,-65.8191,500,evermanni,7,2012,
ElVerde,Luisa Otero,18.3211,-65.8191,500,gundlachi,2485,2012,
ElVerde,Luisa Otero,18.3211,-65.8191,500,stratulus,12,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,cooki,1297,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,cristatellus,1173,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,pulchellus,2,2012,
Guanica,Luisa Otero,17.9602613,-66.8881165,1000,stratulus,2,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,cristatellus,485,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,evermanni,4,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,gundlachi,160,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,krugi,1,2012,
HaciendaRosas,Luisa Otero,18.2975505,-66.6241554,500,stratulus,4,2012,
MtBritton,Luisa Otero,18.3019,-65.792998,500,evermanni,2,2012,
MtBritton,Luisa Otero,18.3019,-65.792998,500,gundlachi,593,2012,
PuntaSalinas,Luisa Otero,18.465,-66.189,500,cristatellus,2983,2012,
PuntaSalinas,Luisa Otero,18.465,-66.189,500,evermanni,9,2012,
PuntaSalinas,Luisa Otero,18.465,-66.189,500,stratulus,6,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,cristatellus,901,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,cuvieri,1,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,evermanni,7,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,gundlachi,759,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,krugi,10,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,pulchellus,2,2012,
RangerHouse,Luisa Otero,18.3394,-65.8252,500,stratulus,18,2012,
RioPiedras,Luisa Otero,18.4035,-66.1007,500,cristatellus,979,2012,
RioPiedras,Luisa Otero,18.4035,-66.1007,500,stratulus,9,2012,
Monagas,Luisa Otero,18.407,-66.138,500,cristatellus,1114,2012,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,cristatellus,1,2006,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,evermanni,1,2006,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,gundlachi,1,2006,
Herrera Montes Site A1,Adriana Herrera Montes,18.3495,-65.7342165,500,pulchellus,1,2006,
Herrera Montes Site A2,Adriana Herrera Montes,18.3394,-65.734688,500,cristatellus,1,2006,
Herrera Montes Site A2,Adriana Herrera Montes,18.3394,-65.734688,500,gundlachi,1,2006,
Herrera Montes Site A2,Adriana Herrera Montes,18.3394,-65.734688,500,pulchellus,1,2006,
Herrera Montes Site A3,Adriana Herrera Montes,18.3437,-65.732322,500,gundlachi,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,cristatellus,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,evermanni,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,gundlachi,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,pulchellus,1,2006,
Herrera Montes Site I1,Adriana Herrera Montes,18.344234,-65.732322,500,stratulus,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,cristatellus,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,evermanni,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,gundlachi,1,2006,
Herrera Montes Site I2,Adriana Herrera Montes,18.338606,-65.741535,500,stratulus,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,cristatellus,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,gundlachi,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,pulchellus,1,2006,
Herrera Montes Site I3,Adriana Herrera Montes,18.349204,-65.736312,500,stratulus,1,2006,
Herrera Montes Site J1,Adriana Herrera Montes,18.352313,-65.735603,500,krugi,1,2006,
Herrera Montes Site J1,Adriana Herrera Montes,18.352313,-65.735603,500,pulchellus,1,2006,
Herrera Montes Site J2,Adriana Herrera Montes,18.345664,-65.726318,500,cristatellus,1,2006,
Herrera Montes Site J2,Adriana Herrera Montes,18.345664,-65.726318,500,pulchellus,1,2006,
Herrera Montes Site J2,Adriana Herrera Montes,18.345664,-65.726318,500,stratulus,1,2006,
Herrera Montes Site J4,Adriana Herrera Montes,18.344882,-65.732978,500,cristatellus,1,2006,
Herrera Montes Site J4,Adriana Herrera Montes,18.344882,-65.732978,500,pulchellus,1,2006,
Herrera Montes Site J4,Adriana Herrera Montes,18.344882,-65.732978,500,stratulus,1,2006,
Herrera Montes Site P1,Adriana Herrera Montes,18.353859,-65.730763,500,pulchellus,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,cristatellus,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,gundlachi,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,krugi,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,pulchellus,1,2006,
Herrera Montes Site P3,Adriana Herrera Montes,18.350207,-65.742566,500,stratulus,1,2006,
