FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
130034,H61-89,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130035,H61-90,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130036,H61-91,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130037,H61-92,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130038,H61-96,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130039,H61-98,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130040,H61-99,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130041,H61-108,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130042,H61-109,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130043,H61-94,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130044,H61-95,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130045,H61-100,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130046,H61-105,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130047,H61-106,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130048,H61-111,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130049,H61-112,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130050,H61-114,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130051,H61-115,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130052,H61-116,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130053,H61-117,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130054,H61-118,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130055,H61-120,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130056,H61-113,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130057,H61-110,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130058,H61-88,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130059,H61-87,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130060,H61-80,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130061,H61-70,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130062,H61-71,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130063,H61-72,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130064,H61-73,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130065,H61-74,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130066,H61-76,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130067,H61-77,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130068,H61-78,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130069,H61-79,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130070,H61-81,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130071,H61-82,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130072,H61-83,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130073,H61-84,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130074,H61-85,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130075,H61-86,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130076,H61-101,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130077,H61-102,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130078,H61-103,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130079,H61-107,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130080,H61-121,Anolis cristatellus,"North America, Puerto Rico: San Juan, back of naval station",,05 Jun 1961,,M. Nelson,,,,,
130081,H61-182,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130082,H61-183,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130083,H61-184,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130084,H61-185,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130085,H61-186,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130086,H61-187,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130087,H61-188,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130088,H61-190,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130089,H61-192,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130090,H61-193,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130091,H61-194,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130092,H61-195,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130093,H61-196,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130094,H61-197,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130095,H61-198,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130096,H61-199,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130097,H61-200,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130098,H61-201,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130099,H61-202,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130100,H61-203,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130101,H61-204,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130102,H61-205,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130103,H61-206,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130104,H61-207,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130105,H61-208,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130106,H61-209,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130107,H61-171,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130108,H61-172,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,skull,Skull removed & prepared 2004 (hand prepped under microscope).,
130109,H61-173,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130110,H61-174,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130111,H61-175,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,skull,Skull removed & prepared 2004 (hand prepped under microscope).,
130112,H61-176,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130113,H61-177,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130114,H61-178,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130115,H61-180,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130116,H61-179,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130117,H61-181,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130118,H61-210,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130119,H61-211,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130120,H61-212,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130121,H61-213,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130122,H61-214,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130123,H61-215,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130124,H61-216,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130125,H61-217,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130126,H61-218,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130127,H61-219,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130128,H61-221,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130129,H61-222,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130130,H61-223,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130131,H61-224,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130132,H61-225,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130133,H61-226,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130134,H61-227,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130135,H61-228,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130136,H61-229,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130137,H61-230,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130138,H61-231,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130139,H61-232,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130140,H61-233,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130141,H61-234,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130142,H61-235,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130143,H61-236,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130144,H61-237,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130145,H61-238,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130146,H61-239,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130147,H61-240,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130148,H61-241,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130149,H61-242,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130150,H61-243,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130151,H61-244,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130152,H61-245,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130153,H61-246,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130154,H61-247,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130155,H61-248,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130156,H61-249,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130157,H61-250,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130158,H61-251,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,29 May 1961,,Juanita,,,,,
130159,H61-252,Anolis cristatellus,"North America, Puerto Rico: Aguada, Colon Monument",,13 Jun 1961,,E. M. Nelson,,,,,
130160,H61-253,Anolis cristatellus,"North America, Puerto Rico: Ponce, main plaza",,15 Jun 1961,,E. M. Nelson,,,,,
130161,H61-3,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,,,E. M. Nelson,,,,,
130162,H61-4,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,,,E. M. Nelson,,,,,
130163,H61-5,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,,,E. M. Nelson,,,,,
130164,H61-15,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130165,H61-16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130166,H61-6,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,,,E. M. Nelson,,,,,
130167,H61-17,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130168,H61-18,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130169,H61-19,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130170,H61-21,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,19 May 1961,,Juanita,,,,,
130171,H61-24,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,21 May 1961,,M. Nelson,,,,,
130172,H61-29,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130173,H61-30,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130174,H61-31,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130175,H61-32,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130176,H61-33,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130177,H61-34,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130178,H61-35,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130179,H61-36,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130180,H61-37,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130181,H61-38,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130182,H61-39,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130183,H61-40,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130184,H61-41,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130185,H61-42,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130186,H61-43,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130187,H61-44,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130188,H61-45,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130189,H61-46,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130190,H61-49,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,26 May 1961,,Juanita,,,,,
130191,H61-50,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,26 May 1961,,Juanita,,,,,
130192,H61-51,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,26 May 1961,,Juanita,,,,,
130193,H61-52,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,26 May 1961,,Juanita,,,,,
130194,H61-57,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,26 May 1961,,Juanita,,,,,
130195,H61-64,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130196,H61-65,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130197,H61-66,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130198,H61-67,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
130199,H61-69,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante 264 near Las Flores",,21 May 1961,,Juanita,,,,,
133297,H62-24,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante",,08 Jun 1962,,Juanita,,,,,
133298,H62-125,Anolis cristatellus,"North America, Puerto Rico: San German",,20 Jun 1962,,Fred,,,,,
133302,H62-101,Anolis cristatellus,"North America, Puerto Rico: San German, Interamerican Univ campus",,18 Jun 1962,,H. Trapido,,,,,
133303,H62-71,Anolis cristatellus,"North America, Puerto Rico: San German, Interamerican Univ campus",,13 Jun 1962,,F. S. Velez,,,,,
133304,H62-25,Anolis cristatellus,"North America, Puerto Rico: San Juan, Calle Pesante",,08 Jun 1962,,Juanita,,,,,
133307,H62-105,Anolis cristatellus,"North America, Puerto Rico: San German, Interamerican Univ campus",,,,Fred's friends,,,,,
133308,H62-134,Anolis cristatellus,"North America, Puerto Rico: San German & vicinity",,20 Jun 1962,,Fred,,,,,
133310,H62-113,Anolis cristatellus,"North America, Puerto Rico: San German, Interamerican Univ greenhouse",,19 Jun 1962,,Fred,,,,,
133311,H62-89,Anolis cristatellus,"North America, Puerto Rico: San German, Interamerican Univ greenhouse",,15 Jun 1962,,F. S. Velez,,,,,
133312,H62-132,Anolis cristatellus,"North America, Puerto Rico: San German & vicinity",,20 Jun 1962,,Fred,,,,,
133314,H62-119,Anolis cristatellus,"North America, Puerto Rico: San German",,20 Jun 1962,,Fred,,,,,
133324,H62-85,Anolis cristatellus,"North America, Puerto Rico: San German, Interamerican Univ greenhouse",,15 Jun 1962,,F. S. Velez,,,,,
133325,H62-117,Anolis cristatellus,"North America, Puerto Rico: San German near bridge",,20 Jun 1962,,Fred,,,,,
166338,83,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, Calle Cisne #804",,20 Jun 1961,,E. M. Nelson,,,,,
166339,83,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, Calle Cisne #804",,17 Jun 1961,,E. M. Nelson,,,,,
166340,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166341,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166342,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166343,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166344,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166345,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166346,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166347,16,Anolis cristatellus,"North America, Puerto Rico: San Juan, Munoz Rivera Park",,04 Oct 1963,,E. M. Nelson,,,,,
166348,7,Anolis cristatellus,"North America, Puerto Rico: near Cayey, Hwy 14, Km 66.7",,23 Jun 1961,,E. M. Nelson,,,,,
166349,7,Anolis cristatellus,"North America, Puerto Rico: near Cayey, Hwy 14, Km 66.7",,23 Jun 1961,,E. M. Nelson,,,,,
166350,7,Anolis cristatellus,"North America, Puerto Rico: near Cayey, Hwy 14, Km 66.7",,23 Jun 1961,,E. M. Nelson,,,,,
166351,7,Anolis cristatellus,"North America, Puerto Rico: near Cayey, Hwy 14, Km 66.7",,23 Jun 1961,,E. M. Nelson,,,,,
166352,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,From the walls of this old fort. These lizards capable of fairly rapid change in color from very dark brown to lite ashy grey.,
166353,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,,
