"","site","recordedBy","lat","long","uncertainty","species","Nindividuals","year","Elev","basisOfRecord","alt","pt.alt"
"44","Punta Salinas, Levittown, junction Hwy 15 and Hwy 868 (near sea level)","Huey & Webster 1972",18.4664,-66.1886503,500,"cristatellus",1,1972,10,"sight",10,10
"45","Luquillo, 440M","Lister 1981 Ecology",18.3241,-65.7336407,2500,"gundlachi",1,1976,440,"sight",440,440
"46","Luquillo, 440M","Lister 1981 Ecology",18.3241,-65.7336407,2500,"evermanni",1,1976,440,"sight",440,440
"47","Luquillo, 440M","Lister 1981 Ecology",18.3241,-65.7336407,2500,"stratulus",1,1976,440,"sight",440,440
"48","Luquillo, 440M","Lister 1981 Ecology",18.3241,-65.7336407,2500,"cuvieri",1,1976,440,"sight",440,440
"49","Luquillo, 440M","Lister 1981 Ecology",18.3241,-65.7336407,2500,"cristatellus",1,1976,440,"sight",440,440
"50","Luquillo, 440M","Lister 1981 Ecology",18.3336,-65.774196,2500,"krugi",1,1976,440,"sight",440,440
"51","Guajataca","Paul Hertz",18.4212,-66.9761,500,"cristatellus",1,2012,208,"sight",208,208
"52","Guajataca","Paul Hertz",18.4212,-66.9761,500,"gundlachi",1,2012,208,"sight",208,208
"53","Monte Guilarte","Paul Hertz",18.1466,-66.768722,500,"cristatellus",1,2012,942,"sight",942,942
"54","Monte Guilarte","Paul Hertz",18.1466,-66.768722,500,"gundlachi",1,2012,942,"sight",942,942
"55","Carabali","Luisa Otero",18.3622606,-65.7684995,500,"cristatellus",6,2012,NA,"sight",23.8310378718587,12.3287842320599
"56","Carabali","Luisa Otero",18.3622606,-65.7684995,500,"evermanni",1,2012,NA,"sight",23.8310378718587,12.3287842320599
"57","Carabali","Luisa Otero",18.3622606,-65.7684995,500,"gundlachi",565,2012,NA,"sight",23.8310378718587,12.3287842320599
"58","Carabali","Luisa Otero",18.3622606,-65.7684995,500,"stratulus",1,2012,NA,"sight",23.8310378718587,12.3287842320599
"59","ElVerde","Luisa Otero",18.3211,-65.8191,500,"cristatellus",3,2012,NA,"sight",395.480011458768,366.432248816005
"60","ElVerde","Luisa Otero",18.3211,-65.8191,500,"evermanni",7,2012,NA,"sight",395.480011458768,366.432248816005
"61","ElVerde","Luisa Otero",18.3211,-65.8191,500,"gundlachi",2485,2012,NA,"sight",395.480011458768,366.432248816005
"62","ElVerde","Luisa Otero",18.3211,-65.8191,500,"stratulus",12,2012,NA,"sight",395.480011458768,366.432248816005
"63","Guanica","Luisa Otero",17.9602613,-66.8881165,1000,"cooki",1297,2012,NA,"sight",99.3299801265868,110.08869671105
"64","Guanica","Luisa Otero",17.9602613,-66.8881165,1000,"cristatellus",1173,2012,NA,"sight",99.3299801265868,110.08869671105
"65","Guanica","Luisa Otero",17.9602613,-66.8881165,1000,"pulchellus",2,2012,NA,"sight",99.3299801265868,110.08869671105
"66","Guanica","Luisa Otero",17.9602613,-66.8881165,1000,"stratulus",2,2012,NA,"sight",99.3299801265868,110.08869671105
