gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
476766477	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131956_A_pulchellus_skl.jpg											
476766477	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131956_A_pulchellus_skl_2.jpg											
476766477	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131956_A_pulchellus_skv.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_leftjawd.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_leftjawlab.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_leftjawling.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_pmx.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_pteryg.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_rightjawd.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_rightjawlab.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_rightjawling.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_skl.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_skl_2.jpg											
476689063	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131969_A_pulchellus_skv.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_leftjawd.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_leftjawd_2.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_leftjawlab.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_leftjawling.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_pmx.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_pteryg.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_rightjawd.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_rightjawlab.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_rightjawling.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_skl.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_skl_2.jpg											
476774679	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132085_A_krugi_skv.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_leftjawd.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_leftjawd_2.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_leftjawlab.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_leftjawling.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_pmx.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_pteryg.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_rightjawd.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_rightjawd_2.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_rightjawlab.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_rightjawling.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_skl.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_skl_2.jpg											
476774685	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132092_A_krugi_skv.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_leftjawd.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_leftjawlab.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_leftjawling.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_pmx.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_rightjawling.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_skl.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_skl_2.jpg											
476749631	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R83660_A_occultus_skv.jpg											
476785211	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R92726_A_occultus_dx.jpg											
1145547324				http://arctos.database.museum/MediaSearch.cfm?collection_object_id=21066526										
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_leftjawd.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_leftjawlab.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_leftjawling.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_pmx.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_pteryg.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_rightjawd.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_rightjawlab.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_rightjawling.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_skl.jpg											
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_skl_2.jpg											
